IYEAR,LOCATION_LATITUDE,LOCATION_LONGITUDE,UNINTENTIONAL_RELEASE_BBLS,RECOVERED_BBLS,EST_COST_OPER_PAID,EST_COST_GAS_RELEASED,EST_COST_PROP_DAMAGE,EST_COST_EMERGENCY,EST_COST_ENVIRONMENTAL,EST_COST_OTHER,TOTAL_DAMAGE_COSTS,COSTPAID_ofTOTAL
2013,33.949629,-118.370221,10,5,0,1000,96278,2861558,130033,18256,3106125,0
2017,33.757825,-118.111294,100,100,0,6273,54752,75822,0,0,130574,0
2016,33.758661,-118.203322,2.98,2.98,0,120,7000,3000,0,0,10000,0
2016,33.764961,-118.209047,0.5,0.5,0,15,1000,3000,0,0,4000,0
2015,33.804707,-118.222597,264,56,0,27720,0,0,267152,0,267152,0
2014,33.806106,-118.158872,5,5,25000,500,50000,150000,50000,10000,260000,0.096
2014,33.806917,-118.227056,989,600,0,49014,0,150986,0,0,150986,0
2014,34.044058,-118.441362,15,12,0,300,175000,38000,19200,0,232200,0
2012,34.00551,-118.14477,0.6,0.4,0,48,8000,5000,1000,2500,16500,0
2011,33.846624,-118.252704,1,1,0,0,160000,50000,40000,0,250000,0
2011,33.5352,-118.0842,1,0.1,0,100,35000,0,1000,0,36000,0
2010,33.80933,-118.25413,1,1,0,75000,0,1000000,3500000,0,4500000,0
2010,33.956,-117.884167,9,9,0,900,3000,10000,0,0,13000,0
2021,34.00564,-118.3705,18,18,0,140,0,6500,0,0,6500,0
2019,33.8045274,-118.2210989,1,1,0,0,95500,30000,10000,0,135500,0
2014,34.0577675,-118.360143,0.12,0,500,25,150000,20000,0,15000,185000,0.003
2011,34.0522342,-118.2436849,0.5,0.5,0,50,0,12000,0,61000,73000,0
2011,33.756403,-118.205749,0.48,0.48,0,0,26000,0,0,0,26000,0